Author A,Author B,S(A and B),S(A),S(B),A => B confidence,B => A confidence,Jaccard,Cosine,Kulc,IR,years
Lefei Zhang,Du Bo,31,41,117,0.7560975609756098,0.26495726495726496,0.2440944881889764,0.44758635121835033,0.5105274129664373,0.5984251968503937,"{2015: 4, 2016: 8, 2017: 10, 2019: 8, 2020: 1}"
Xin Huang,Liangpei Zhang,30,33,267,0.9090909090909091,0.11235955056179775,0.1111111111111111,0.31960138605029653,0.5107252298263534,0.8666666666666667,"{2013: 5, 2014: 10, 2015: 7, 2016: 6, 2017: 1, 2018: 1}"
Aaron C. Courville,Yoshua Bengio,34,34,113,1.0,0.3008849557522124,0.3008849557522124,0.5485298130021853,0.6504424778761062,0.6991150442477876,"{2013: 9, 2014: 1, 2015: 10, 2016: 6, 2017: 3, 2018: 3, 2019: 2}"
Didier Dubois,Henri Prade,59,59,71,1.0,0.8309859154929577,0.8309859154929577,0.9115842887484171,0.9154929577464789,0.16901408450704225,"{2013: 25, 2014: 5, 2015: 10, 2016: 7, 2017: 6, 2018: 4, 2019: 2}"
Henri Prade,Didier Dubois,59,71,59,0.8309859154929577,1.0,0.8309859154929577,0.9115842887484171,0.9154929577464789,0.16901408450704225,"{2013: 25, 2014: 5, 2015: 10, 2016: 7, 2017: 6, 2018: 4, 2019: 2}"
Jie Li,Xinbo Gao,69,71,179,0.971830985915493,0.3854748603351955,0.3812154696132597,0.6120591585502092,0.6786529231253442,0.5966850828729282,"{2013: 3, 2014: 4, 2015: 6, 2016: 13, 2017: 10, 2018: 15, 2019: 16, 2020: 2}"
Nannan Wang,Xinbo Gao,44,45,179,0.9777777777777777,0.24581005586592178,0.24444444444444444,0.49025259834090873,0.6117939168218498,0.7444444444444445,"{2013: 2, 2014: 3, 2015: 4, 2016: 8, 2017: 6, 2018: 8, 2019: 10, 2021: 1, 2022: 2}"
Nannan Wang,Jie Li,32,45,71,0.7111111111111111,0.4507042253521127,0.38095238095238093,0.5661278852632269,0.5809076682316119,0.30952380952380953,"{2013: 2, 2014: 2, 2015: 4, 2016: 6, 2017: 6, 2018: 6, 2019: 6}"
Zhigang Ma,Yi Yang,20,25,144,0.8,0.1388888888888889,0.1342281879194631,0.3333333333333333,0.46944444444444444,0.7986577181208053,"{2013: 6, 2014: 8, 2015: 2, 2017: 3, 2018: 1}"
Tao Yang,Yanning Zhang,24,25,134,0.96,0.1791044776119403,0.17777777777777778,0.41465684427905286,0.5695522388059702,0.8074074074074075,"{2013: 4, 2014: 1, 2015: 5, 2016: 9, 2017: 2, 2018: 2, 2019: 1}"
Shutao Li,Jon Atli Benediktsson,22,30,92,0.7333333333333333,0.2391304347826087,0.22,0.4187628431947845,0.486231884057971,0.62,"{2013: 1, 2014: 5, 2015: 4, 2016: 3, 2017: 5, 2018: 2, 2019: 2}"
Lingfeng Wang,Chunhong Pan,30,30,114,1.0,0.2631578947368421,0.2631578947368421,0.5129891760425771,0.631578947368421,0.7368421052631579,"{2013: 5, 2014: 5, 2015: 3, 2016: 2, 2017: 6, 2018: 5, 2019: 3, 2022: 1}"
Furu Wei,Ming Zhou,39,42,116,0.9285714285714286,0.33620689655172414,0.3277310924369748,0.5587415486847215,0.6323891625615764,0.6218487394957983,"{2013: 4, 2014: 5, 2015: 8, 2016: 5, 2017: 4, 2018: 11, 2019: 2}"
Jun Li,Javier Plaza,38,46,102,0.8260869565217391,0.37254901960784315,0.34545454545454546,0.5547593043500946,0.5993179880647912,0.509090909090909,"{2013: 4, 2014: 4, 2015: 9, 2016: 10, 2017: 4, 2018: 4, 2019: 3}"
Palaiahnakote Shivakumara,Pal Umapada,28,28,84,1.0,0.3333333333333333,0.3333333333333333,0.5773502691896257,0.6666666666666666,0.6666666666666666,"{2013: 3, 2014: 3, 2015: 4, 2016: 4, 2017: 2, 2018: 9, 2019: 3}"
Yap-Peng Tan,Jiwen Lu,30,38,131,0.7894736842105263,0.22900763358778625,0.2158273381294964,0.4252005411577976,0.5092406588991563,0.6690647482014388,"{2013: 12, 2014: 5, 2015: 3, 2016: 3, 2017: 3, 2018: 3, 2020: 1}"
Jinjian Wu,Guangming Shi,43,53,108,0.8113207547169812,0.39814814814814814,0.3644067796610169,0.5683536364313366,0.6047344514325647,0.4661016949152542,"{2013: 4, 2014: 4, 2015: 4, 2016: 7, 2017: 8, 2018: 7, 2019: 8, 2022: 1}"
Satoshi Nakamura,Sakriani Sakti,70,103,71,0.6796116504854369,0.9859154929577465,0.6730769230769231,0.8185595002247407,0.8327635717215918,0.3076923076923077,"{2013: 3, 2014: 15, 2015: 18, 2016: 10, 2017: 4, 2018: 16, 2019: 4}"
Sakriani Sakti,Satoshi Nakamura,70,71,103,0.9859154929577465,0.6796116504854369,0.6730769230769231,0.8185595002247407,0.8327635717215918,0.3076923076923077,"{2013: 3, 2014: 15, 2015: 18, 2016: 10, 2017: 4, 2018: 16, 2019: 4}"
Tomoki Toda,Satoshi Nakamura,46,51,103,0.9019607843137255,0.44660194174757284,0.42592592592592593,0.6346790036346511,0.6742813630306492,0.48148148148148145,"{2013: 2, 2014: 15, 2015: 20, 2016: 6, 2017: 1, 2018: 2}"
Tomoki Toda,Graham Neubig,42,51,84,0.8235294117647058,0.5,0.45161290322580644,0.641688947919748,0.6617647058823529,0.3548387096774194,"{2013: 2, 2014: 18, 2015: 17, 2016: 4, 2018: 1}"
Tomoki Toda,Sakriani Sakti,38,51,71,0.7450980392156863,0.5352112676056338,0.4523809523809524,0.6314941536222641,0.64015465341066,0.23809523809523808,"{2013: 2, 2014: 14, 2015: 17, 2016: 4, 2018: 1}"
Weidong Cai,Dagan Feng,50,62,169,0.8064516129032258,0.2958579881656805,0.27624309392265195,0.4884620269238096,0.5511548005344531,0.5911602209944752,"{2013: 12, 2014: 6, 2015: 9, 2016: 10, 2017: 4, 2018: 8, 2019: 1}"
Yang Song,Weidong Cai,38,43,62,0.8837209302325582,0.6129032258064516,0.5671641791044776,0.7359588363843544,0.748312078019505,0.2835820895522388,"{2013: 9, 2014: 2, 2015: 6, 2016: 7, 2017: 4, 2018: 8, 2019: 1, 2020: 1}"
Weidong Cai,Yang Song,38,62,43,0.6129032258064516,0.8837209302325582,0.5671641791044776,0.7359588363843544,0.748312078019505,0.2835820895522388,"{2013: 9, 2014: 2, 2015: 6, 2016: 7, 2017: 4, 2018: 8, 2019: 1, 2020: 1}"
Yang Song,Dagan Feng,38,43,169,0.8837209302325582,0.22485207100591717,0.21839080459770116,0.4457650517414598,0.5542865006192377,0.7241379310344828,"{2013: 9, 2014: 3, 2015: 6, 2016: 7, 2017: 4, 2018: 7, 2019: 2}"
Cheng Wang,Jonathan Li,24,25,81,0.96,0.2962962962962963,0.2926829268292683,0.5333333333333333,0.6281481481481481,0.6829268292682927,"{2014: 2, 2015: 4, 2016: 2, 2017: 1, 2018: 5, 2019: 6, 2020: 1, 2022: 3}"
Eng Siong Chng,Haizhou Li,51,52,127,0.9807692307692307,0.4015748031496063,0.3984375,0.6275764581159371,0.6911720169594185,0.5859375,"{2013: 9, 2014: 13, 2015: 14, 2016: 7, 2017: 6, 2018: 1, 2019: 1}"
