Author A,Author B,S(A and B),S(A),S(B),A => B confidence,B => A confidence,Jaccard,Cosine,Kulc,IR,years
Xin Huang,Liangpei Zhang,26,28,217,0.928571429,0.119815668,0.118721461,0.333552704,0.524193548,0.863013699,"{2013: 4, 2014: 10, 2015: 4, 2016: 6, 2017: 1, 2018: 1}"
Kaiming He,Jian Sun,20,21,89,0.952380952,0.224719101,0.222222222,0.462621002,0.588550027,0.755555556,"{2013: 6, 2014: 4, 2015: 7, 2016: 3}"
Jie Li,Xinbo Gao,39,39,88,1,0.443181818,0.443181818,0.665719023,0.721590909,0.556818182,"{2013: 1, 2014: 3, 2015: 4, 2016: 8, 2017: 7, 2018: 3, 2019: 7, 2020: 2, 2021: 4}"
Nannan Wang,Xinbo Gao,27,27,88,1,0.306818182,0.306818182,0.553911709,0.653409091,0.693181818,"{2013: 1, 2014: 2, 2015: 3, 2016: 7, 2017: 5, 2018: 1, 2019: 3, 2021: 3, 2022: 2}"
Nannan Wang,Jie Li,22,27,39,0.814814815,0.564102564,0.5,0.677966906,0.689458689,0.272727273,"{2013: 1, 2014: 2, 2015: 3, 2016: 6, 2017: 5, 2018: 1, 2019: 2, 2021: 2}"
Xiaoou Tang,Xiaogang Wang,25,36,119,0.694444444,0.210084034,0.192307692,0.381957707,0.452264239,0.638461538,"{2013: 9, 2014: 6, 2015: 3, 2016: 3, 2017: 2, 2018: 1, 2019: 1}"
Tao Yang,Yanning Zhang,24,24,88,1,0.272727273,0.272727273,0.522232968,0.636363636,0.727272727,"{2013: 4, 2014: 1, 2015: 5, 2016: 9, 2017: 2, 2018: 2, 2019: 1}"
Jun Li,Javier Plaza,34,36,86,0.944444444,0.395348837,0.386363636,0.611052381,0.669896641,0.568181818,"{2013: 3, 2014: 4, 2015: 6, 2016: 10, 2017: 4, 2018: 4, 2019: 3}"
Yap-Peng Tan,Jiwen Lu,22,28,108,0.785714286,0.203703704,0.192982456,0.400066132,0.494708995,0.701754386,"{2013: 9, 2014: 5, 2015: 3, 2016: 3, 2017: 1, 2018: 1}"
Jinjian Wu,Weisi Lin,24,28,144,0.857142857,0.166666667,0.162162162,0.377964473,0.511904762,0.783783784,"{2013: 4, 2014: 4, 2015: 3, 2016: 5, 2017: 5, 2018: 1, 2019: 2}"
Di Huang,Yunhong Wang,45,45,77,1,0.584415584,0.584415584,0.764470787,0.792207792,0.415584416,"{2013: 7, 2014: 7, 2015: 9, 2016: 7, 2017: 3, 2018: 2, 2019: 8, 2020: 1, 2022: 1}"
