height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,classification,Predict classification
1,16,16,16.000,1.00,1.00,16.00,16,16,1,horiz,horiz
8,272,2176,34.000,.186,.539,1.35,404,1172,299,text,text
9,99,891,11.000,.484,.951,2.52,431,847,171,text,text
12,72,864,6.000,.281,.807,2.15,243,697,113,text,text
13,9,117,.692,.402,.684,3.36,47,80,14,text,text
7,41,287,5.857,.226,.784,1.48,65,225,44,text,text
3,3,9,1.000,.778,.778,7.00,7,7,1,text,text
5,6,30,1.200,.400,.867,2.00,12,26,6,text,text
9,37,333,4.111,.213,.706,1.54,71,235,46,text,text
12,271,3252,22.583,.246,.615,1.95,799,1999,410,text,text
10,51,510,5.100,.306,.855,2.29,156,436,68,text,text
7,243,1701,34.714,.219,.528,1.62,372,898,230,text,text
10,48,480,4.800,.300,.556,2.15,144,267,67,text,text
9,105,945,11.667,.334,.869,2.19,316,821,144,text,text
10,12,120,1.200,.225,.558,2.70,27,67,10,text,text
8,110,880,13.750,.230,.872,1.66,202,767,122,text,text
8,18,144,2.250,.472,1.00,2.52,68,144,27,text,text
6,18,108,3.000,.500,.991,2.45,54,107,22,text,text
4,22,88,5.500,.432,.977,1.46,38,86,26,text,text
10,16,160,1.600,.425,.794,7.56,68,127,9,text,text
9,82,738,9.111,.379,.879,2.35,280,649,119,text,text
13,5,65,.385,.323,.554,5.25,21,36,4,picture,text
8,190,1520,23.750,.118,.620,1.21,179,943,148,text,text
7,23,161,3.286,.447,1.00,1.95,72,161,37,text,text
10,20,200,2.000,.385,.870,2.14,77,174,36,text,text
1,9,9,9.000,.778,1.00,7.00,7,9,1,horiz,horiz
3,500,1500,166.67,.373,.421,19.28,559,632,29,horiz,horiz
10,53,530,5.300,.343,.811,2.00,182,430,91,text,text
6,8,48,1.333,.313,.875,1.07,15,42,14,text,text
25,84,2100,3.360,.443,.820,8.45,930,1722,110,text,text
3,3,9,1.000,.889,.889,8.00,8,8,1,text,text
9,166,1494,18.444,.386,.750,2.95,576,1121,195,text,text
9,75,675,8.333,.369,.936,2.09,249,632,119,text,text
5,16,80,3.200,.250,.938,2.00,20,75,10,text,text
9,86,774,9.556,.301,.647,2.22,233,501,105,text,text
7,12,84,1.714,.357,.810,1.67,30,68,18,text,text
9,97,873,10.778,.328,.921,1.77,286,804,162,text,text
8,57,456,7.125,.268,.798,1.45,122,364,84,text,text
9,21,189,2.333,.175,.513,1.65,33,97,20,text,text
9,64,576,7.111,.465,.899,2.58,268,518,104,text,text
7,15,105,2.143,.200,.571,1.50,21,60,14,text,text
13,80,1040,6.154,.434,.536,5.57,451,557,81,text,text
7,26,182,3.714,.445,.978,2.25,81,178,36,text,text
9,83,747,9.222,.356,.914,2.77,266,683,96,text,text
9,10,90,1.111,.144,.522,6.50,13,47,2,picture,text
9,92,828,10.222,.287,.694,1.93,238,575,123,text,text
18,342,6156,19.000,.847,.897,43.48,5217,5522,120,horiz,text
11,90,990,8.182,.385,.882,2.41,381,873,158,text,text
6,10,60,1.667,.317,.850,1.19,19,51,16,text,text
7,13,91,1.857,.363,1.00,1.94,33,91,17,text,text
7,50,350,7.143,.214,.960,1.23,75,336,61,text,text
11,125,1375,11.364,.432,.804,3.03,594,1105,196,text,text
9,151,1359,16.778,.185,.566,1.39,251,769,181,text,text
11,96,1056,8.727,.331,.954,4.32,350,1007,81,text,text
6,26,156,4.333,.288,.679,1.41,45,106,32,text,text
14,326,4564,23.286,.363,.589,4.40,1657,2689,377,text,text
7,92,644,13.143,.309,.896,1.88,199,577,106,text,text
38,410,15580,10.789,.279,.696,2.39,4341,10849,1815,text,text
1,9,9,9.000,.778,1.00,7.00,7,9,1,text,horiz
11,141,1551,12.818,.366,.790,2.85,567,1225,199,text,text
10,197,1970,19.700,.245,.751,1.87,482,1479,258,text,text
11,102,1122,9.273,.289,.829,1.87,324,930,173,text,text
5,12,60,2.400,.483,1.00,1.38,29,60,21,text,text
8,162,1296,20.250,.327,.790,2.85,424,1024,149,text,text
5,12,60,2.400,.600,.900,3.00,36,54,12,text,text
10,268,2680,26.800,.494,.754,6.02,1325,2022,220,text,text
14,2,28,.143,.536,.536,15.00,15,15,1,vert,vert
9,268,2412,29.778,.198,.637,1.36,478,1536,351,text,text
8,54,432,6.750,.245,.745,1.29,106,322,82,text,text
9,64,576,7.111,.299,.970,1.81,172,559,95,text,text
8,17,136,2.125,.346,1.00,2.47,47,136,19,text,text
5,4,20,.800,.500,.800,10.00,10,16,1,text,text
8,29,232,3.625,.384,.884,2.07,89,205,43,text,text
7,30,210,4.286,.338,.762,1.54,71,160,46,text,text
6,4,24,.667,.583,.792,3.50,14,19,4,text,text
6,8,48,1.333,.500,1.00,2.18,24,48,11,text,text
9,38,342,4.222,.211,.561,2.25,72,192,32,text,text
8,22,176,2.750,.295,.483,2.60,52,85,20,text,text
9,358,3222,39.778,.385,.863,2.36,1240,2782,525,text,text
7,346,2422,49.429,.167,.707,1.19,404,1712,339,text,text
10,107,1070,10.700,.273,.738,1.81,292,790,161,text,text
7,141,987,20.143,.160,.757,1.17,158,747,135,text,text
7,40,280,5.714,.336,.782,1.47,94,219,64,text,text
11,213,2343,19.364,.264,.698,1.95,619,1635,317,text,text
8,22,176,2.750,.426,1.00,2.42,75,176,31,text,text
7,33,231,4.714,.342,.740,1.49,79,171,53,text,text
7,191,1337,27.286,.307,.748,1.66,411,1000,247,text,text
11,98,1078,8.909,.276,.602,2.15,297,649,138,text,text
17,22,374,1.294,.321,.406,8.57,120,152,14,text,text
8,22,176,2.750,.477,1.00,2.27,84,176,37,text,text
8,74,592,9.250,.456,.887,2.48,270,525,109,text,text
10,151,1510,15.100,.193,.770,1.48,291,1162,197,text,text
1,14,14,14.000,.929,1.00,13.00,13,14,1,horiz,horiz
12,9,108,.750,.509,.657,9.17,55,71,6,text,text
8,25,200,3.125,.335,.770,1.68,67,154,40,text,text
7,29,203,4.143,.281,.783,1.33,57,159,43,text,text
8,62,496,7.750,.296,.869,1.81,147,431,81,text,text
9,47,423,5.222,.307,.872,2.03,130,369,64,text,text
7,147,1029,21.000,.215,.956,1.28,221,984,173,text,text
9,37,333,4.111,.381,.808,2.05,127,269,62,text,text
8,32,256,4.000,.336,.789,2.46,86,202,35,text,text
27,4,108,.148,.380,.750,2.56,41,81,16,vert,text
8,7,56,.875,.268,.786,1.67,15,44,9,text,text
7,9,63,1.286,.143,.238,9.00,9,15,1,picture,text
9,107,963,11.889,.357,.875,2.14,344,843,161,text,text
12,62,744,5.167,.234,.660,1.58,174,491,110,text,text
10,25,250,2.500,.408,.680,2.43,102,170,42,text,text
10,26,260,2.600,.354,.769,2.09,92,200,44,text,text
7,26,182,3.714,.396,1.00,2.00,72,182,36,text,text
11,8,88,.727,.727,.989,10.67,64,87,6,text,text
7,11,77,1.571,.377,.961,1.45,29,74,20,text,text
10,248,2480,24.800,.356,.729,2.60,883,1807,340,text,text
1,60,60,60.000,.200,1.00,1.09,12,60,11,text,text
7,4,28,.571,.250,.893,1.75,7,25,4,text,text
8,39,312,4.875,.304,.756,1.38,95,236,69,text,text
10,508,5080,50.800,.160,.628,1.41,813,3189,578,text,text
10,100,1000,10.000,.436,.910,2.53,436,910,172,text,text
8,10,80,1.250,.388,.913,2.21,31,73,14,text,text
14,57,798,4.071,.742,.970,12.08,592,774,49,text,text
8,14,112,1.750,.438,.768,2.23,49,86,22,text,text
8,106,848,13.250,.358,.698,2.29,304,592,133,text,text
8,27,216,3.375,.208,.852,1.45,45,184,31,text,text
5,43,215,8.600,.456,1.00,1.42,98,215,69,text,text
9,21,189,2.333,.365,.905,2.30,69,171,30,text,text
