compactness,circularity,distance circularity,radius ratio,pr.axis aspect ratio,max.length aspect ratio,scatter ratio,elongatedness,pr.axis rectangularity,max.length rectangularity,scaled variance along major axis,scaled variance along minor axis,scaled radius of gyration,skewness about major axis,skewness about minor axis,kurtosis about minor axis,kurtosis about major axis,hollows ratio,classification,Predict classification
96,44,68,190,70,7,155,41,19,145,179,372,166,67,5,7,202,206,bus,bus
97,35,66,151,64,8,128,52,18,129,148,246,112,66,6,2,195,200,van,van
101,53,108,184,54,12,216,31,24,172,220,685,187,68,4,24,190,201,opel,saab
109,49,103,186,57,11,206,32,23,156,212,630,186,65,12,21,192,201,opel,opel
89,47,84,133,55,11,157,44,20,160,169,354,176,74,5,9,182,192,van,van
107,54,98,210,66,11,218,31,24,169,221,704,216,71,14,0,188,197,saab,saab
88,42,66,133,57,6,123,54,17,144,147,227,160,66,8,4,193,198,van,van
89,46,74,135,59,9,157,44,20,158,170,356,177,79,12,3,184,191,van,van
97,43,73,173,65,6,153,42,19,143,176,361,172,66,13,1,200,204,bus,bus
91,43,88,157,61,9,149,45,19,157,165,326,140,64,1,26,197,207,van,van
106,49,106,211,64,9,208,32,24,158,224,645,184,68,1,24,190,202,saab,saab
98,45,76,166,60,7,157,42,20,148,184,371,186,69,13,10,190,196,opel,bus
90,48,86,306,126,49,153,44,19,156,272,346,200,118,0,15,185,194,van,bus
94,43,64,173,69,7,150,43,19,142,169,344,177,68,9,1,199,206,bus,opel
92,43,69,158,56,7,149,44,19,143,170,333,168,63,14,18,198,203,opel,bus
94,44,84,216,74,6,184,35,22,145,208,525,154,73,4,22,196,197,bus,bus
104,52,101,206,62,10,198,33,23,161,207,587,204,64,2,5,195,204,opel,opel
94,35,66,147,62,9,131,50,18,127,159,258,115,66,8,7,196,201,van,opel
94,43,69,161,59,7,152,43,19,143,175,349,187,67,12,11,193,198,saab,bus
99,53,105,219,66,11,204,32,23,165,221,623,224,68,0,6,191,201,saab,opel
91,39,82,164,68,10,143,46,19,137,164,308,158,68,13,9,191,201,van,van
92,42,69,153,58,8,140,48,18,138,165,290,151,64,10,21,199,206,opel,saab
86,42,64,122,54,6,148,46,19,143,170,319,171,87,1,3,179,182,bus,bus
88,39,76,155,62,8,137,48,18,137,156,281,124,63,3,6,201,209,van,van
83,45,73,161,68,8,142,46,18,144,169,305,179,71,10,3,191,199,van,van
90,34,66,158,59,7,140,47,18,124,165,298,117,61,1,3,201,207,saab,van
102,53,101,238,72,4,238,28,26,163,267,844,242,85,7,22,184,184,bus,bus
102,45,83,198,65,5,194,33,22,146,225,576,167,79,0,27,193,191,bus,bus
104,53,108,206,61,11,217,31,24,168,226,694,209,67,0,9,188,201,saab,saab
97,47,87,164,64,9,156,43,20,149,173,359,182,68,1,13,192,202,van,van
85,43,66,130,57,6,151,45,19,143,173,333,168,86,4,9,180,183,bus,bus
85,45,73,167,69,8,143,46,18,148,173,307,176,71,2,0,190,199,van,bus
105,51,80,207,71,6,195,33,22,159,214,579,188,75,6,20,194,194,bus,bus
106,55,96,196,60,12,221,30,25,173,225,717,214,72,9,13,186,196,opel,opel
93,42,70,131,56,7,127,53,18,145,156,240,152,74,5,4,189,190,van,van
94,40,85,186,62,9,169,39,20,139,184,430,133,61,2,9,200,210,saab,opel
81,46,71,130,56,7,153,44,19,149,172,342,191,81,3,14,180,186,bus,bus
105,54,106,215,68,10,208,32,24,166,217,640,218,69,14,23,189,199,saab,opel
100,52,104,189,59,10,208,32,24,163,220,642,197,70,1,22,187,198,saab,saab
105,54,108,234,70,12,215,31,24,168,226,687,228,68,4,22,189,201,saab,saab
88,36,78,160,62,6,140,48,18,123,161,287,129,66,4,35,194,202,opel,saab
82,45,66,252,126,52,148,45,19,144,237,326,185,119,1,1,181,185,bus,bus
104,50,106,209,66,10,207,32,23,158,223,635,220,73,14,9,188,196,saab,saab
94,46,91,175,70,12,157,43,20,155,172,358,192,69,15,21,190,200,van,van
108,51,100,206,63,10,196,34,23,159,214,576,201,65,7,16,194,205,saab,saab
98,54,104,186,59,10,213,32,24,172,223,665,217,73,1,26,186,195,opel,saab
88,34,69,152,57,5,138,48,18,122,158,284,120,62,9,29,204,210,opel,opel
